"Country or Area","Year","Value","Value Footnotes"
"Canada","2021","24951000",""
"Canada","2020","27620000",""
"Canada","2019","93352000","2"
"Canada","2018","91504000",""
"Canada","2017","91404001",""
"Canada","2016","85406425",""
"Canada","2015","80228302",""
"Canada","2014","75528607",""
"Canada","2013","71526725.918431",""
"Canada","2012","70467400.7928687",""
"Canada","2011","66078011.9547392",""
"Canada","2010","63277409.3753385",""
"Canada","2009","52583516",""
"Canada","2008","53718757",""
"Canada","2007","52103547",""
"Canada","2006","46726978",""
"Canada","2005","45229860",""
"Canada","2004","40701307",""
"Canada","2003","35884417",""
"Canada","2002","23323029",""
"Canada","2001","40451914",""
"Canada","2000","41767974",""
"Canada","1999","24602000",""
"Canada","1998","24653300",""
"Canada","1997","23981500",""
"Canada","1996","22856000",""
"Canada","1995","20291100",""
"Canada","1994","18104800",""
"Canada","1993","17516500",""
"Canada","1992","16818300",""
"Canada","1991","16586500",""
"Canada","1990","20601400",""
"Canada","1989","21273800",""
"Canada","1988","22379400",""
"Canada","1987","19946500",""
"Canada","1986","20378500",""
"Canada","1985","19688400",""
"Canada","1984","19382600",""
"Canada","1983","18107900",""
"Canada","1982","19653800",""
"Canada","1981","22097100",""
"Canada","1980","22453000",""
"Canada","1979","20846400",""
"Canada","1978","18472000",""
"Canada","1977","17466400",""
"Canada","1976","16833100",""
"Canada","1975","16712900",""
"Canada","1974","16367500",""
"Canada","1973","14626800",""
"Canada","1972","11628500",""
"Canada","1971","10247300",""
"Canada","1970","10180300",""
"China","2021","440301216",""
"China","2020","417255845","3"
"China","2019","659629070","3"
"China","2018","611439830","3"
"China","2017","551234509","3"
"China","2016","487960477","3"
"China","2015","436183969","3"
"China","2014","390878784","3"
"China","2013","352795296","3"
"China","2012","318475924","3"
"China","2011","292160158","3"
"China","2010","266293020","3"
"China","2009","229062099","3"
"China","2008","191001220","3"
"China","2007","183613132","3"
"China","2006","158013351","3"
"China","2005","136721623","3"
"China","2004","119789024","3"
"China","2003","86040642","3"
"China","2002","83671798","3"
"China","2001","72660653","3"
"China","2000","61891807","3"
"China","1999","55853100","3"
"China","1998","53234000","3"
"China","1997","52277000","3"
"China","1996","51770100","3"
"China","1995","47564500","3"
