"Country or Area","Year","Value","Value Footnotes"
"Canada","2019","8",""
"Canada","2018","8",""
"Canada","2017","8",""
"Canada","2016","8",""
"Canada","2015","8",""
"Canada","2014","8",""
"Canada","2013","8",""
"Canada","2012","8",""
"Canada","2011","8",""
"Canada","2010","8",""
"Canada","2009","8",""
"Canada","2008","8",""
"Canada","2007","8",""
"Canada","2006","8",""
"Canada","2005","8",""
"China","2019","10",""
"China","2018","10",""
"China","2017","10",""
"China","2016","10",""
"China","2015","10",""
"China","2014","10",""
"China","2013","10",""
"China","2012","10",""
"China","2011","10",""
"China","2010","10",""
"China","2009","10",""
"China","2008","10",""
"China","2007","10",""
"China","2006","10",""
"China","2005","10",""
"India","2019","8",""
"India","2018","8",""
"India","2017","8",""
"India","2016","7",""
"India","2015","7",""
"India","2014","7",""
"India","2013","6",""
"India","2012","6",""
"India","2011","6",""
"India","2010","6",""
"India","2009","6",""
"India","2008","6",""
"India","2007","6",""
"India","2006","6",""
"India","2005","6",""
"Russia","2019","6",""
"Russia","2018","6",""
"Russia","2017","6",""
"Russia","2016","6",""
"Russia","2015","6",""
"Russia","2014","6",""
"Russia","2013","6",""
"Russia","2012","6",""
"Russia","2011","6",""
"Russia","2010","6",""
"Russia","2009","6",""
"Russia","2008","6",""
"Russia","2007","6",""
"Russia","2006","6",""
"Russia","2005","6",""
"United States","2019","7.4",""
"United States","2018","7.4",""
"United States","2017","7.4",""
"United States","2016","7.4",""
"United States","2015","7.4",""
"United States","2014","7.4",""
"United States","2013","7.4",""
"United States","2012","7.4",""
"United States","2011","7.4",""
"United States","2010","7.4",""
"United States","2009","7.4",""
"United States","2008","7.4",""
"United States","2007","7.4",""
"United States","2006","7.4",""
"United States","2005","7.4",""

