"Country or Area","Year","Value","Value Footnotes"
"Canada","2021","3240",""
"Canada","2020","2306.166349",""
"Canada","2019","3109.04305844707","2"
"Canada","2018","2482",""
"Canada","2017","2840.9851350232",""
"Canada","2016","2246.22709557467",""
"Canada","2015","2074.830881067",""
"Canada","2014","2084.318163",""
"Canada","2013","1946.30559714895",""
"Canada","2012","1960",""
"Canada","2011","1980",""
"Canada","2010","1957.32853635002",""
"Canada","2009","1346.938",""
"Canada","2008","1388.665",""
"Canada","2007","1429.8449999999998",""
"Canada","2006","1503.185",""
"Canada","2005","1526.819",""
"Canada","2004","1656.579",""
"Canada","2003","1496.297",""
"Canada","2002","1578.027",""
"Canada","2001","1709.813",""
"Canada","2000","1896.114",""
"Canada","1999","1881.5999755859",""
"Canada","1998","1805.6999511719",""
"Canada","1997","1956.5",""
"Canada","1996","1781",""
"Canada","1995","1637.4000244141",""
"Canada","1994","1478.5999755859",""
"Canada","1993","1369.1999511719",""
"Canada","1992","1249.6999511719",""
"Canada","1991","1241.4000244141",""
"Canada","1990","1385.3000488281",""
"Canada","1989","1311.3000488281",""
"Canada","1988","1170.5999755859",""
"Canada","1987","1006.799987793",""
"Canada","1986","977",""
"Canada","1985","989.799987793",""
"Canada","1984","967.200012207",""
"Canada","1983","825.5999755859",""
"Canada","1982","746.5999755859",""
"Canada","1981","713.0999755859",""
"Canada","1980","688.5999755859",""
"Canada","1979","670.4000244141",""
"Canada","1978","608.5999755859",""
"Canada","1977","550.4000244141",""
"Canada","1976","567.700012207",""
"Canada","1975","534.299987793",""
"Canada","1974","520.299987793",""
"Canada","1973","484.200012207",""
"Canada","1972","433.3999938965",""
"Canada","1971","403.5",""
"Canada","1970","370.8999938965",""
"China","2021","20961.2116",""
"China","2020","19264.2436","3"
"China","2019","25394.5878","3"
"China","2018","25256.2071","3"
"China","2017","23323.6147","3"
"China","2016","21304.5851","3"
"China","2015","19805.63","3"
"China","2014","17822.581","3"
"China","2013","16053.7331","3"
"China","2012","15568.753","3"
"China","2011","16764.869","3"
"China","2010","17193.8774","3"
"China","2009","11976.438","3"
"China","2008","11386.055","3"
"China","2007","11189.538","3"
"China","2006","7692.205","3"
"China","2005","7579.401","3"
"China","2004","7024.25","3"
"China","2003","5650.63","3"
"China","2002","5013.505","3"
"China","2001","4232.312","3"
"China","2000","3900.08","3"
"China","1999","3295.3999023438","3"
"China","1998","2474.1999511719","3"
"China","1997","2083.6000976563","3"
"China","1996","1688.5999755859","3"
"China","1995","1501","3"
"China","1994","1717.1999511719","3"
"China","1993","1547","3"
"China","1992","1316","3"
"China","1991","1009.5","3"
"China","1990","818.299987793","3"
"China","1989","683.0999755859","3"
"China","1988","731.799987793","3"
"China","1987","647.5","3"
"China","1986","467.5","3"
"China","1985","403","3"
"China","1984","302","3"
"China","1983","216","3"
"China","1982","184.1999969482","3"
"China","1981","155.3999938965","3"
"China","1980","120.9000015259","3"
"China","1979","123","3"
"China","1978","86","3"
"China","1977","60","3"
"China","1976","49","3"
"China","1975","46.2000007629","3"
"China","1974","29.2000007629","3"
"India","2021","907.929041",""
"India","2020","875.122843",""
"India","2019","1938.232596","2"
"India","2018","2703.96417383",""
"India","2017","2407.098107",""
"India","2016","1893.8815",""
"India","2015","1833.847614",""
"India","2014","1851.32674",""
"India","2013","1733.76172",""
"India","2012","1579.229879",""
"India","2011","1702.702702",""
"India","2010","1630.96414222155",""
"India","2009","1235.158",""
"India","2008","1233.937",""
"India","2007","967.684",""
"India","2006","842.55",""
"India","2005","774.04",""
"India","2004","708.475",""
"India","2003","579.85",""
"India","2002","546.34",""
"India","2001","515.37",""
"India","2000","547.652",""
"India","1999","531.200012207",""
"India","1998","531.299987793",""
"India","1997","528",""
"India","1996","565",""
"India","1995","653.9000244141",""
"India","1994","563.5999755859",""
