"Country or Area","Year","Value","Value Footnotes"
"Canada","2020","85.4084",""
"Canada","2019","91.59",""
"Canada","2018","89.674",""
"Canada","2017","86.701",""
"Canada","2016","85.1537",""
"Canada","2015","83.3004",""
"Canada","2014","81.3143",""
"Canada","2013","80.8814",""
"Canada","2012","79.9034",""
"Canada","2011","78.1971",""
"Canada","2010","76.0389",""
"China","2020","120.596",""
"China","2019","122.813",""
"China","2018","116.388",""
"China","2017","104.227",""
"China","2016","97.3639",""
"China","2015","92.7007",""
"China","2014","92.846",""
"China","2013","89.3186",""
"China","2012","81.3835",""
"China","2011","72.6738",""
"China","2010","63.7152",""
"India","2020","82.6211",""
"India","2019","83.2529",""
"India","2018","85.9035",""
"India","2017","86.3171",""
"India","2016","84.2506",""
"India","2015","75.6732",""
"India","2014","72.2135",""
"India","2013","68.6455",""
"India","2012","67.8485",""
"India","2011","71.0757",""
"India","2010","60.6305",""
"Russian Federation","2020","163.946",""
"Russian Federation","2019","164.534",""
"Russian Federation","2018","157.52",""
"Russian Federation","2017","156.271",""
"Russian Federation","2016","157.899",""
"Russian Federation","2015","157.11",""
"Russian Federation","2014","153.19",""
"Russian Federation","2013","151.643",""
"Russian Federation","2012","144.862",""
"Russian Federation","2011","142.121",""
"Russian Federation","2010","165.935",""
"United States","2020","104.935",""
"United States","2019","106.414",""
"United States","2018","104.848",""
"United States","2017","103.13",""
"United States","2016","103.37",""
"United States","2015","102.308",""
"United States","2014","100.175",""
"United States","2013","97.2831",""
"United States","2012","96.2693",""
"United States","2011","94.7519",""
"United States","2010","91.6239",""

